,model,input,output,train_mse,test_mse,weighted_mse
0,lr,['t'],t,0.1040160283446312,0.10615400224924088,22.8688
1,lr,"['z', 't']",t,0.09449318796396255,0.09922502189874649,22.8797
2,lr,"['z', 't', 't2m']",t,0.09184287488460541,0.09853135049343109,22.8513
3,lr,['t2m'],t2m,0.03962678089737892,0.03973767161369324,2.0013
4,lr,"['z', 't']",t2m,0.05611886456608772,0.05756281688809395,2.5032
5,lr,"['z', 't', 't2m']",t2m,0.036070339381694794,0.03765881061553955,1.9424
6,ridge,['t'],t,0.1040160283446312,0.10615149140357971,22.8688
7,ridge,"['z', 't']",t,0.09450072795152664,0.0991620346903801,22.8783
8,ridge,"['z', 't', 't2m']",t,0.0918496698141098,0.09846017509698868,22.8506
9,ridge,['t2m'],t2m,0.03962681442499161,0.039731383323669434,2.0011
10,ridge,"['z', 't']",t2m,0.05617501214146614,0.05755462124943733,2.5039
11,ridge,"['z', 't', 't2m']",t2m,0.03607340529561043,0.03761846572160721,1.9414
12,ridge_cv,['t'],t,0.1040327194412197,0.10606543779139145,22.8688
13,ridge_cv,"['z', 't']",t,0.094501596114365,0.09916209640353948,22.8783
14,ridge_cv,"['z', 't', 't2m']",t,0.091948995308528,0.0982071131039648,22.8484
15,ridge_cv,['t2m'],t2m,0.039630688889525464,0.0396844648537657,2.0
16,ridge_cv,"['z', 't']",t2m,0.056119392866306565,0.05756191817762645,2.5031
17,ridge_cv,"['z', 't', 't2m']",t2m,0.036115872753572725,0.0374882689277725,1.9384
18,lasso,['t'],t,0.16421858966350555,0.16446807980537415,23.2418
19,lasso,"['z', 't']",t,0.16421858966350555,0.16446807980537415,23.2418
20,lasso,"['z', 't', 't2m']",t,0.14624862372875214,0.14719368517398834,23.1863
21,lasso,['t2m'],t2m,0.08552270382642746,0.08791101723909378,3.147
22,lasso,"['z', 't']",t2m,0.12810586392879486,0.1291448324918747,3.7561
23,lasso,"['z', 't', 't2m']",t2m,0.08554629236459732,0.08793928474187851,3.1474
24,elasticnet,['t'],t,0.13660570979118347,0.13666915893554688,23.1295
25,elasticnet,"['z', 't']",t,0.13640253245830536,0.13646601140499115,23.1297
26,elasticnet,"['z', 't', 't2m']",t,0.13178837299346924,0.13137361407279968,23.1366
27,elasticnet,['t2m'],t2m,0.07234026491641998,0.07381318509578705,2.8854
28,elasticnet,"['z', 't']",t2m,0.09926164895296097,0.1000492125749588,3.327
29,elasticnet,"['z', 't', 't2m']",t2m,0.07233912497758865,0.07381237298250198,2.8854
